flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code
211.65.240.6_212.73.148.39_11280_52236_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,52236,0.0,0,0
211.65.224.48_45.198.224.5_2375_32953_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,32953,0.0,0,0
209.38.231.9_211.65.234.242_46481_7707_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,7707,0.0,0,0
211.65.254.232_69.5.169.213_47384_21009_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,21009,0.0,0,0
159.223.155.166_211.65.219.81_46088_52245_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,52245,0.0,0,0
211.65.207.132_212.73.148.6_12659_57699_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,57699,0.0,0,0
154.83.197.158_211.65.206.246_33194_80_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,80,0.0,0,0
20.118.32.171_211.65.222.168_48056_50000_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,50000,0.0,0,0
211.65.195.133_89.248.163.48_7011_55275_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,55275,0.0,0,0
211.65.240.181_91.227.114.130_54202_40364_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40364,0.0,0,0
146.0.36.88_211.65.216.23_51492_9101_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,9101,0.0,0,0
185.223.235.32_211.65.252.217_29839_6003_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,6003,0.0,0,0
211.65.193.166_46.151.178.13_443_57038_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,57038,0.0,0,0
146.0.36.88_211.65.248.92_51669_9101_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,9101,0.0,0,0
101.4.105.38_211.65.193.40_49979_20051_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,78,0.001,78.0,0.0,1000.0,78000.0,1.0,0.0,20051,0.0,0,0
141.98.10.109_211.65.254.224_44974_135_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,135,0.0,0,0
211.65.196.245_91.191.209.118_11009_48789_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,48789,0.0,0,0
195.184.76.72_211.65.222.1_54768_6699_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,78,0.001,78.0,0.0,1000.0,78000.0,1.0,0.0,6699,0.0,0,0
14.152.79.93_211.65.244.186_45791_37551_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,37551,0.0,0,0
180.167.128.202_211.65.217.34_55366_22_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,22,0.0,0,0
209.38.231.9_211.65.196.11_46481_7707_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,7707,0.0,0,0
211.65.242.83_86.54.25.180_7797_40433_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40433,0.0,0,0
137.184.110.102_211.65.201.221_46086_48811_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,48811,0.0,0,0
137.184.110.102_211.65.219.131_46086_48811_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,48811,0.0,0,0
211.65.245.197_95.85.244.167_5133_40494_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40494,0.0,0,0
20.65.154.228_211.65.255.159_52377_4200_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,4200,0.0,0,0
176.32.193.16_211.65.243.91_60023_9200_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,9200,0.0,0,0
211.65.221.88_34.197.70.90_82_61234_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,61234,0.0,0,0
165.154.6.82_211.65.216.136_44438_119_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,119,0.0,0,0
193.163.125.87_211.65.194.34_36490_2881_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,2881,0.0,0,0
178.83.200.2_211.65.248.230_60000_5060_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,5060,0.0,0,0
211.65.208.151_213.230.90.238_417_60001_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,60001,0.0,0,0
123.160.221.153_211.65.203.37_10604_9351_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,9351,0.0,0,0
211.65.251.241_89.248.164.165_20183_56941_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,56941,0.0,0,0
123.160.221.169_211.65.197.76_41417_54602_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,54602,0.0,0,0
198.74.58.148_211.65.244.66_46258_6699_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,6699,0.0,0,0
211.65.193.204_59.153.148.20_26328_45346_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,45346,0.0,0,0
