flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code,anomaly,is_attack
211.65.192.227_51.81.83.108_23_2450_tcp,train,attack,tcp,13,832,369.985079,64.0,0.0,0.0351365520878208,2.248739333620533,1.0,0.0,2450,0.0,0,0,-1,True
109.122.9.205_211.65.222.209_53041_23_tcp,train,attack,tcp,3,192,200.190878,64.0,0.0,0.0149856977998767,0.9590846591921136,1.0,0.0,23,0.0,0,0,-1,True
103.166.200.226_211.65.196.155_35330_23_tcp,train,attack,tcp,154,9856,383.440798,64.0,0.0,0.4016265374035655,25.704098393828197,1.0,0.0,23,0.0,0,0,-1,True
211.65.248.25_66.135.26.95_23_6367_tcp,train,attack,tcp,3,192,259.509271,64.0,0.0,0.011560280634444,0.7398579606044209,1.0,0.0,6367,0.0,0,0,-1,True
161.35.59.224_211.65.196.39_29133_23_tcp,train,attack,tcp,4,256,227.019355,64.0,0.0,0.0176196430476159,1.1276571550474188,1.0,0.0,23,0.0,0,0,-1,True
137.59.109.46_211.65.204.128_19568_23_tcp,train,attack,tcp,7,448,225.627377,64.0,0.0,0.0310246038981342,1.9855746494805904,1.0,0.0,23,0.0,0,0,-1,True
103.140.158.60_211.65.202.222_40388_23_tcp,train,attack,tcp,2,156,1.114874,78.0,0.0,1.793924694629169,139.92612618107518,1.0,0.0,23,0.0,0,0,-1,True
134.122.16.52_211.65.248.253_46432_23_tcp,train,attack,tcp,3,192,224.290728,64.0,0.0,0.0133754971806057,0.8560318195587648,1.0,0.0,23,0.0,0,0,-1,True
211.65.252.41_68.183.40.164_23_43042_tcp,train,attack,tcp,2,128,162.411966,64.0,0.0,0.0123143635857471,0.7881192694878159,1.0,0.0,43042,0.0,0,0,-1,True
103.14.209.58_211.65.207.122_60998_23_tcp,train,attack,tcp,2,156,0.958382,78.0,0.0,2.0868505460244453,162.77434258990675,1.0,0.0,23,0.0,0,0,-1,True
188.120.106.219_211.65.216.192_6292_23_tcp,train,attack,tcp,2,156,1.103705,78.0,0.0,1.8120784086327415,141.34211587335386,1.0,0.0,23,0.0,0,0,-1,True
211.65.228.222_39.61.169.163_23_42824_tcp,train,attack,tcp,2,156,1.034376,78.0,0.0,1.9335328739259223,150.81556416622195,1.0,0.0,42824,0.0,0,0,-1,True
211.65.215.115_59.127.249.224_23_33698_tcp,train,attack,tcp,2,156,1.004952,78.0,0.0,1.9901448029358613,155.2312946289972,1.0,0.0,33698,0.0,0,0,-1,True
112.236.209.74_211.65.222.11_58528_23_tcp,train,attack,tcp,2,128,0.001,64.0,0.0,2000.0,128000.0,1.0,0.0,23,0.0,0,0,-1,True
211.65.214.39_23.111.74.222_23_38467_tcp,train,attack,tcp,33,2112,17.85486,64.0,0.0,1.8482362785258468,118.2871218256542,1.0,0.0,38467,0.0,0,0,-1,True
211.65.241.134_41.114.12.91_23_4384_tcp,train,attack,tcp,2,156,1.068395,78.0,0.0,1.8719668287477944,146.01341264232798,1.0,0.0,4384,0.0,0,0,-1,True
